GENERATIONS,MAX,AVR,MEDIAN,DIVERSITY
383,14124,13950.66,14124,99.71
384,14124,14034.12,14124,99.87
385,14124,14056.59,14124,99.87
386,14124,13905.72,14124,99.87
387,14124,13966.71,14124,99.93
388,14124,14018.07,14124,99.91
389,14124,13969.92,14124,99.91
390,14124,13973.13,14124,99.87
391,14124,14075.85,14124,99.83
392,14124,14056.59,14124,99.89
393,14124,14030.91,14124,99.97
394,14124,13905.72,14124,99.89
395,14124,13947.45,14124,99.91
396,14124,14046.96,14124,99.85
397,14124,13982.76,14124,99.93
398,14124,13941.03,14124,99.91
399,14124,13979.55,14124,99.93
400,14124,13979.55,14124,99.93
401,14124,13976.34,14124,99.93
402,14124,13944.24,14124,99.87
403,14124,14034.12,14124,99.87
404,14124,14056.59,14124,99.85
405,14124,14069.43,14124,99.89
406,14124,14021.28,14124,99.91
407,14124,14043.75,14124,99.85
408,14124,14005.23,14124,99.93
409,14124,13918.56,14124,99.85
410,14124,14011.65,14124,99.91
411,14124,14082.27,14124,99.87
412,14124,13985.97,14124,99.91
413,14124,13957.08,14124,99.95
414,14124,14024.49,14124,99.91
415,14124,13918.56,14124,99.85
416,14124,13899.3,14124,99.87
417,14124,14005.23,14124,99.89
418,14124,14021.28,14124,99.85
419,14124,14082.27,14124,99.65
420,14124,13969.92,14124,99.87
421,14124,13989.18,14124,99.77
422,14124,14011.65,14124,99.77
423,14124,14030.91,14124,99.79
424,14124,13989.18,14124,99.81
425,14124,14021.28,14124,99.89
426,14124,14024.49,14124,99.85
427,14124,13989.18,14124,99.91
428,14124,14030.91,14124,99.85
429,14124,14079.06,14124,99.81
430,14124,14002.02,14124,99.79
431,14124,14085.48,14124,99.81
432,14124,14002.02,14124,99.87
433,14124,13941.03,14124,99.89
434,14124,13992.39,14124,99.77
435,14124,14053.38,14124,99.93
436,14124,14040.54,14124,99.87
437,14124,13921.77,14124,99.79
438,14124,14040.54,14124,99.89
439,14124,13992.39,14124,99.77
440,14124,13982.76,14124,99.91
441,14124,13918.56,14124,99.93
442,14124,14030.91,14124,99.91
443,14124,14018.07,14124,99.87
444,14124,14066.22,14124,99.93
445,14124,13966.71,14124,99.95
446,14124,14101.53,14124,99.89
447,14124,14101.53,14124,99.79
448,14124,13963.5,14124,99.79
449,14124,13941.03,14124,99.85
450,14124,13985.97,14124,99.87
451,14124,13918.56,14124,99.91
452,14124,14069.43,14124,99.89
453,14124,13918.56,14124,99.87
454,14124,14034.12,14124,99.89
455,14124,14107.95,14124,99.87
456,14124,14040.54,14124,99.95
457,14124,14008.44,14124,99.89
458,14124,13969.92,14124,99.79
459,14124,14011.65,14124,99.89
460,14124,13979.55,14124,99.91
461,14124,14072.64,14124,99.91
462,14124,13873.62,14124,99.93
463,14124,13870.41,14124,99.97
464,14124,13950.66,14124,99.91
465,14124,14027.7,14124,99.95
466,14124,14069.43,14124,99.93
467,14124,14091.9,14124,99.95
468,14124,14002.02,14124,99.93
469,14124,14021.28,14124,99.83
470,14124,13992.39,14124,99.85
471,14124,14059.8,14124,99.91
472,14124,13985.97,14124,99.91
473,14124,14024.49,14124,99.97
474,14124,14043.75,14124,99.97
475,14124,13985.97,14124,99.93
476,14124,13950.66,14124,99.91
477,14124,13953.87,14124,99.89
478,14124,13969.92,14124,99.93
479,14124,13976.34,14124,99.89
480,14124,14046.96,14124,99.87
481,14124,14005.23,14124,99.95
482,14124,14079.06,14124,99.93
483,14124,14095.11,14124,99.91
484,14124,14056.59,14124,99.93
485,14124,14066.22,14124,99.91
486,14124,14098.32,14124,99.89
487,14124,14088.69,14124,99.95
488,14124,14014.86,14124,99.95
489,14124,14011.65,14124,99.95
490,14124,13982.76,14124,99.87
491,14124,14024.49,14124,99.97
492,14124,14008.44,14124,99.89
493,14124,14046.96,14124,99.97
494,14124,14075.85,14124,99.95
495,14124,14056.59,14124,99.91
496,14124,13969.92,14124,99.97
497,14124,14008.44,14124,99.85
498,14124,13989.18,14124,99.81
499,14124,13941.03,14124,99.91
500,14124,14063.01,14124,99.85
501,14124,14005.23,14124,99.87
502,14124,13886.46,14124,99.87
503,14124,14018.07,14124,99.91
504,14124,13992.39,14124,99.97
505,14124,13989.18,14124,99.81
506,14124,14091.9,14124,99.75
507,14124,13937.82,14124,99.79
508,14124,13937.82,14124,99.89
509,14124,13992.39,14124,99.87
510,14124,14063.01,14124,99.91
511,14124,13989.18,14124,99.85
512,14124,13989.18,14124,99.93
513,14124,13947.45,14124,99.93
514,14124,13931.4,14124,99.89
515,14124,14034.12,14124,99.91
516,14124,14027.7,14124,99.83
517,14124,14005.23,14124,99.93
518,14124,14021.28,14124,99.95
519,14124,14021.28,14124,99.91
520,14124,14063.01,14124,99.81
521,14124,13944.24,14124,99.83
522,14124,14034.12,14124,99.83
523,14124,14079.06,14124,99.77
524,14124,14021.28,14124,99.89
525,14124,13992.39,14124,99.89
526,14124,14088.69,14124,99.85
527,14124,14056.59,14124,99.79
528,14124,14030.91,14124,99.89
529,14124,14063.01,14124,99.89
530,14124,14098.32,14124,99.91
531,14124,14082.27,14124,99.83
532,14124,14014.86,14124,99.97
533,14124,13963.5,14124,99.93
534,14124,14040.54,14124,99.87
535,14124,14050.17,14124,99.93
536,14124,13912.14,14124,99.93
537,14124,14024.49,14124,99.89
538,14124,14050.17,14124,99.83
539,14124,14014.86,14124,99.87
540,14124,13982.76,14124,99.85
541,14124,14011.65,14124,99.89
542,14124,14040.54,14124,99.89
543,14124,14027.7,14124,99.87
544,14124,14002.02,14124,99.91
545,14124,14024.49,14124,99.81
546,14124,13969.92,14124,99.83
547,14124,14040.54,14124,99.93
548,14124,14053.38,14124,99.87
549,14124,13963.5,14124,99.83
550,14124,14056.59,14124,99.89
551,14124,13883.25,14124,99.89
